customer_id,name,email,country,signup_date
C0001,Customer 1,customer1@example.com,US,2025-01-07
C0002,Customer 2,customer2@example.com,US,2025-03-04
C0003,Customer 3,customer3@example.com,US,2025-02-05
C0004,Customer 4,customer4@example.com,US,2025-06-23
C0005,Customer 5,customer5@example.com,UK,2025-01-23
C0006,Customer 6,customer6@example.com,UK,2025-04-19
C0007,Customer 7,customer7@example.com,US,2025-01-08
C0008,Customer 8,customer8@example.com,US,2025-02-25
C0009,Customer 9,customer9@example.com,US,2025-05-10
C0010,Customer 10,customer10@example.com,UK,2025-01-07
C0011,Customer 11,customer11@example.com,UK,2025-02-20
C0012,Customer 12,customer12@example.com,UK,2025-04-18
C0013,Customer 13,customer13@example.com,US,2025-04-25
C0014,Customer 14,customer14@example.com,UK,2025-03-13
C0015,Customer 15,customer15@example.com,US,2025-07-14
C0016,Customer 16,customer16@example.com,US,2025-06-28
C0017,Customer 17,customer17@example.com,IN,2025-03-29
C0018,Customer 18,customer18@example.com,US,2025-02-09
C0019,Customer 19,customer19@example.com,US,2025-07-15
C0020,Customer 20,customer20@example.com,US,2025-01-27
C0021,Customer 21,customer21@example.com,US,2025-04-08
C0022,Customer 22,customer22@example.com,US,2025-04-02
C0023,Customer 23,customer23@example.com,US,2025-06-04
C0024,Customer 24,customer24@example.com,US,2025-01-12
C0025,Customer 25,customer25@example.com,IN,2025-05-18
C0026,Customer 26,customer26@example.com,US,2025-04-07
C0027,Customer 27,customer27@example.com,US,2025-05-22
C0028,Customer 28,customer28@example.com,US,2025-06-10
C0029,Customer 29,customer29@example.com,UK,2025-04-03
C0030,Customer 30,customer30@example.com,UK,2025-02-19
C0031,Customer 31,customer31@example.com,US,2025-01-12
C0032,Customer 32,customer32@example.com,US,2025-07-17
C0033,Customer 33,customer33@example.com,US,2025-01-21
C0034,Customer 34,customer34@example.com,US,2025-01-26
C0035,Customer 35,customer35@example.com,IN,2025-03-13
C0036,Customer 36,customer36@example.com,IN,2025-06-12
C0037,Customer 37,customer37@example.com,US,2025-02-11
C0038,Customer 38,customer38@example.com,US,2025-04-01
C0039,Customer 39,customer39@example.com,US,2025-06-21
C0040,Customer 40,customer40@example.com,US,2025-06-29
C0041,Customer 41,customer41@example.com,US,2025-06-05
C0042,Customer 42,customer42@example.com,US,2025-05-17
C0043,Customer 43,customer43@example.com,US,2025-02-11
C0044,Customer 44,customer44@example.com,IN,2025-04-08
C0045,Customer 45,customer45@example.com,US,2025-06-13
